ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,TIPO
17050,AREA INFANTIL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440559.691,4481653.56,ETRS89,40.48344731,-3.70131906,CALLE,SANTIAGO DE COMPOSTELA,34,28034,"CALLE SANTIAGO DE COMPOSTELA , ASCENDIENTE 1:",11045907,17050-FECHA_INSTALACION-ausente,8054,AE21,7,INFANTIL
17052,AREA INFANTIL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440406.729,4481475.723,ETRS89,40.48183432,-3.70310697,CALLE,FINISTERRE,50,28029,"CALLE PEDRO RICO , ASCENDIENTE 1: 085  LA PA",20098043,17052-FECHA_INSTALACION-ausente,8057,AE21,7,INFANTIL
17054,AREA INFANTIL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440741.6,4481808.41,ETRS89,40.48485526,-3.6991874,CALLE,SANTIAGO DE COMPOSTELA,12,28034,"CALLE SANTIAGO DE COMPOSTELA 22 , ASCENDIENTE",11045893,17054-FECHA_INSTALACION-ausente,8059,AE21,7,INFANTIL
17056,AREA INFANTIL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440667.1,4481424.04,ETRS89,40.48138739,-3.70003038,CALLE,ANTONIO LOPEZ AGUADO,3,28029,"PARQUE NORTE(ZONA2) , ASCENDIENTE 1: 085  L",11046923,2006-07-28T00:00:00,8061,AE21,8,INFANTIL
17058,AREA INFANTIL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440699.669,4481504.623,ETRS89,40.48211564,-3.69965369,CALLE,ANTONIO LOPEZ AGUADO,3,28029,"PARQUE NORTE , ASCENDIENTE 1: 085  LA PAZ ,",11046923,2006-01-25T00:00:00,8063,AE21,15,INFANTIL
17060,AREA INFANTIL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440946.13,4481426.42,ETRS89,40.48142872,-3.69673874,CALLE,ARZOBISPO MORCILLO,30,28029,"CALLE ARZOBISPO MORCILLO 30 , ASCENDIENTE 1:",11046968,2004-12-14T00:00:00,8069,AE21,8,INFANTIL
17062,AREA INFANTIL,84,PILAR,8,FUENCARRAL - EL PARDO,OPERATIVO,439618.14,4481574.46,ETRS89,40.48266681,-3.71241981,CALLE,FERMIN CABALLERO,70,28034,"PLAZA ESQUIVIAS FERMIN CABALLERO No70 POSTERIOR, ASCENDIENTE 1: 084  BARR",11045739,2005-09-30T00:00:00,8072,AE21,11,INFANTIL
17064,AREA INFANTIL,84,PILAR,8,FUENCARRAL - EL PARDO,OPERATIVO,440283.18,4480885.7,ETRS89,40.4765103,-3.70450898,CALLE,MELCHOR FERNANDEZ ALMAGRO,48,28029,"CALLE MELCHOR FERNANDEZ ALMAGRO   48 , ASCEND",11046764,17064-FECHA_INSTALACION-ausente,8076,AE21,8,INFANTIL
17066,AREA INFANTIL,84,PILAR,8,FUENCARRAL - EL PARDO,OPERATIVO,440230.74,4480536.85,ETRS89,40.47336396,-3.70509473,AVENIDA,EL FERROL,21,28029,"AVENIDA DEL FERROL 21 POSTERIOR, ASCENDIENTE 1: 084 ",11046304,2004-09-13T00:00:00,8079,AE21,14,INFANTIL
17068,AREA INFANTIL,83,PENAGRANDE,8,FUENCARRAL - EL PARDO,OPERATIVO,438289.99,4481701.95,ETRS89,40.48371763,-3.7281013,CALLE,RAMON GOMEZ DE LA SERNA,75,28035,"CALLE RAMON GOMEZ DE LA SERNA 75 , ASCENDIENT",11051209,2006-12-11T00:00:00,8081,AE21,21,INFANTIL
